,Review,Rating
10,"Upgraded from 2013 MacBook Pro and I am happy with the purchase. Design wise it’s huge upgrade and also in terms of performance it’s super fast.
Will see how well it performs when running different IDEs as I am a programmer.
Just want to thank Flipkart for fast delivery",5
11,"Migrated from 2016 MacBook Air. Brand new, sealed pack product, authentic product was delivered by Flipkart. Transition from old laptop was very smooth. Best in class Laptop. Super happy with the Retina Screen, new speaker system, butterfly smooth key board, long battery life. Only thing that could have helped more is one USB port, I had to buy an USB type C to Type A extender separately.",5
12,"Bought this laptop a week ago and I can say proudly that this is the best machine to date that I have used for my day-to-day tasks. Here are some pros and cons:

Pros:
* Blazing fast performance in every task that you throw at it.
* Insane battery life (14- 15 Hours) on a single charge.
* The Retina display with true tone technology gives you very natural colors which have support for the P3 color gamut.
* Instant wake up after sleep.
* The OS Ma Big Sur makes every task very smoothly.
* No t...",5
13,"Amazing laptop, super performance with M1, its blazing fast.
Audio is very loud, screen quality is brilliant, with these two watching movie experience is amazing.
Camera is decent quality, not great but still good. I dont use much camera so not a worry part for me.
If you are looking great laptop in day to day life and wants to do some coding with entertainment then this is for you.
Cheers",5
14,"My first Macbook and no regret that I waited for this.
Sleek design, lightning speed, super light weight and silent as a wolf.
If you want to have a laptop that is super cool in look as well as performance, go for it.",5
15,Amazed performance of MI chip. Looks no doubt premium. Outstanding battery backup. Buit quality is very good. After full charge I used it for 2 days (more than 16 hrs) still more than 20% charge remaining. Best and suitable for high end users like coder/IT persons.,5
16,"This is truly a mean machine, l was in a mind set to continue with windows, but if you are not much concerned about game and a professional , close your eyes buy this. This functions like a ipad superfast to open and runs fine with day to day work. Battery life is awesome.

Pros: battery life, best display, premium built quality, M1 chip
Cons: nothing much so far to be honest but you have to keep in mind though its a 🍏 you won't be able to manage 3rd party application easily.

With a minimum...",5
17,"Battery is amazing
laptop gets a bit warm while doing moderate task such as having 5-6 edge tabs with few other applications open
Ram Management is nice, could be better in future when more and more software gets arm update
IOS simulator with vs code and egde works like butter",4
18,"Amazing product, I think most of people won't need more than this. It provides best value for money. I am using this for mobile app development and it works like charm.",5
19,"No doubt, the laptop is very good. But this 3 star is only for the apple company itself. There is no USB port or card reader port. You will just get 2 type C port and eventually you have to shed extra 6-8k to buy a good quality dock(connector) for this laptop so that you can connect your hard drives, iphone or card reader, etc. Also, even to get a 512GB variant you have to pay a whooping 20k extra. This is insane. Instead of buying 512Gb variant I would suggest to buy a external SSD. I didn’t...",3
20,"Upgraded from 2013 MacBook Pro and I am happy with the purchase. Design wise it’s huge upgrade and also in terms of performance it’s super fast.
Will see how well it performs when running different IDEs as I am a programmer.
Just want to thank Flipkart for fast delivery",5
21,"Migrated from 2016 MacBook Air. Brand new, sealed pack product, authentic product was delivered by Flipkart. Transition from old laptop was very smooth. Best in class Laptop. Super happy with the Retina Screen, new speaker system, butterfly smooth key board, long battery life. Only thing that could have helped more is one USB port, I had to buy an USB type C to Type A extender separately.",5
22,"Bought this laptop a week ago and I can say proudly that this is the best machine to date that I have used for my day-to-day tasks. Here are some pros and cons:

Pros:
* Blazing fast performance in every task that you throw at it.
* Insane battery life (14- 15 Hours) on a single charge.
* The Retina display with true tone technology gives you very natural colors which have support for the P3 color gamut.
* Instant wake up after sleep.
* The OS Ma Big Sur makes every task very smoothly.
* No t...",5
23,"Amazing laptop, super performance with M1, its blazing fast.
Audio is very loud, screen quality is brilliant, with these two watching movie experience is amazing.
Camera is decent quality, not great but still good. I dont use much camera so not a worry part for me.
If you are looking great laptop in day to day life and wants to do some coding with entertainment then this is for you.
Cheers",5
24,"My first Macbook and no regret that I waited for this.
Sleek design, lightning speed, super light weight and silent as a wolf.
If you want to have a laptop that is super cool in look as well as performance, go for it.",5
25,Amazed performance of MI chip. Looks no doubt premium. Outstanding battery backup. Buit quality is very good. After full charge I used it for 2 days (more than 16 hrs) still more than 20% charge remaining. Best and suitable for high end users like coder/IT persons.,5
26,"This is truly a mean machine, l was in a mind set to continue with windows, but if you are not much concerned about game and a professional , close your eyes buy this. This functions like a ipad superfast to open and runs fine with day to day work. Battery life is awesome.

Pros: battery life, best display, premium built quality, M1 chip
Cons: nothing much so far to be honest but you have to keep in mind though its a 🍏 you won't be able to manage 3rd party application easily.

With a minimum...",5
27,"Battery is amazing
laptop gets a bit warm while doing moderate task such as having 5-6 edge tabs with few other applications open
Ram Management is nice, could be better in future when more and more software gets arm update
IOS simulator with vs code and egde works like butter",4
28,"Amazing product, I think most of people won't need more than this. It provides best value for money. I am using this for mobile app development and it works like charm.",5
29,"No doubt, the laptop is very good. But this 3 star is only for the apple company itself. There is no USB port or card reader port. You will just get 2 type C port and eventually you have to shed extra 6-8k to buy a good quality dock(connector) for this laptop so that you can connect your hard drives, iphone or card reader, etc. Also, even to get a 512GB variant you have to pay a whooping 20k extra. This is insane. Instead of buying 512Gb variant I would suggest to buy a external SSD. I didn’t...",3
30,"I was in an ocillation to buy M1 air or Pro, finally went with air, I am glad that I saved money by not going to pro, as air matched my performance requirement, previously I was using Macbook Pro 2017 model with i7 intel plus 16GB RAM which use to heat up a lot for chrome usage (many tabs with google meet call with screen sharing and cam on), 90% of the time fan use to kick in, but Air does the job without any hesitation and no heat at all, thanks to Apple and Flipkart for 2nd-day delivery. T...",5
31,If u have the budget then go for it. It’s a very small and sleek device with very good performance and awesome battery life. No regrets.,5
32,Overall laptop is Good But if you have money buy 16 inch this is very small performance is awesome and the best thing is battery backup of this laptop is outstanding.,4
33,"I'm new to MacBook and Apple Ecosystem. But, I've to say, this MacBook Air M1 is so awesome that I'm totally impressed. Yet to get used to all the keyboard shortcuts and as coming from the Windows maybe it'll take a while to get used to it.

Great build quality.
Great display.
Amazing battery life.
Amazing performance.
Great sound quality.

It's a completely balanced package. I highly recommend it instead of high-end and more pricey Windows laptops.",5
34,"Best device you can get.
An all new revolutionary chip which boosts its performance better than any other device.
A full power packed device, with high battery backup(14hrs min on cont usage) great display quality! Doesnt even lags for a sec. Handels all the heavy duty work like a pro!
Looks wise best on the market.
My first mac purchase. You might take 3 to 4 days to get used to it and the shortcuts and gestures. But once u are done, its the best device u can get!",5
35,"Amazing thing you can get man!
Don't go for windows if you really want to
Windows is more flexible but mac is blazingly fast in everything !
Jts super portable, super powerful machine which just sips power !
It's a go to any business trip, school/college work machine which will last 12-14 hrs with hardcore usage
Video playback is around 13 hrs
With normal usage expect 18 hrs as promised by the company
My advice :
First charge should be 100 percent
Rest every charge should be done max...",5
36,"I am finally ended up buying this baby after months lf researching its display is drop dead gorgeous there are better display panels pit there however for the size it has a stunning display keyboard is tactile the touchpad is massive. Speaker when reviewers said it has a great speaker for its size i didn’t take it seriously the highs and lows sound amazing, there’s no way you can be disappointed rather be shocked. I haven’t given this a full drive until yet so wont comment it on performance b...",5
37,"Switched from a Mid 2012 Macbook Pro which was way over its intended shelf life and i cannot fathom how far the Macbook have come to be.

Pros:

1. Blazing fast performance, 8GB Ram is plenty even for a professional graphic designer using Photoshop, Illustrator, Sketch & Figma.

2. Amazing Battery life, getting close to 16 hours of Usage time per single charge, that translates to 2 working days of mine.

3. Fast Type C Charging, full charge of laptop in close to 1 and half hours, thats blazi...",5
38,"I bought the Apple Macbook Air M1 after extensive research. The x86 processors seem to have fallen far behind in performance and battery life, and is also a very confusing lineup with i3, i5, i7 processors. I am buying a device that should last me for around five years at least so my selection parameters were (1) Good processor (2) Good battery life and portability (3) Solid build quality. The M1 with 16 billion transistors was head and shoulders above other processors, and also provided bes...",5
39,"The M1 macbook air is the best value for money. Amazing speed, gorgeous display, superb endurance and best in class aesthetics. If u are a non gamer and buying a laptop for serious work, this beast is the one to get( not even macbook pro, since benchmark scores are negligible). A small heads up: The upcoming M2 mac airs are even more powerful but are also costlier and come in garish colours which i personally dislike. So don't wait for the next gen. Just get the M1 air now. U won't be disappo...",5
40,"1st Mac pc in my lifetime, I’m impressed being windows users for multiple decades below are the major benefits came in my mind instantly,

- No heating issues, I can use like phone or tab. Simply to say I use pc place in my thigh
- Display is awesome, feels to work more in sharp displays
- Battery, Wow simply super it’s stay for me a week with daily max of 2 hour of usage, charging timing 10 to 100 max 2 hours
- very slim and light, you need use good case to protect it. Feels very less wei...",4
41,"This machine is beast with M1 chip, monster fast speed processor with premium and class looks. Super thin and light weight.
Highly recommended machine, it's complete worth at this price...go for it",5
42,"The MacBook is very amazing, the body is metallic and also very strong. The resolution of the screen is very high and quality is very good. Best part about macbook is battery life, even at high usage it will last continuously for 15-16 hours of massive work on your laptop. Do get an apple protective cover for more safety though, for the very reason that it's expensive and delicate. Overall an amazing experience, have been using since the last 7 months and it works the best. Only Con being the...",5
43,"The laptop is the best option for someone who is already a mac or iOS user and is one of the best options for someone who isn’t. The fan less design and apple designed M1 chip just make this machine a beast that devours everyday tasks and easily handle some heavy duty tasks as well.
It serves it’s purpose and gets out of the way when you’re done. The instant wake, really fast SSD, best touchpad, excellent speakers and microphones, along with the premium design and the deep integration with r...",5
44,Awesome performance and build quality and my codes are working properly without lagign . The great feeling today with MacBook Air M1 8 Gb Ram 256 gb ssd...,5
45,If anyone wants a good battery life or battery backup go for it works smoothly and for students also who study long (6-7) hours . It performs well,5
46,Can't ask for more... Literally the best tech piece out there.... Performance... Battery... Sleek design... Portability... And specially after the discounts.. It was a no brainer.. Lack of ports maybe an issue but great dongles are available so anyone who needs a laptop at gif price point you should not think even if you're a pc user and get this.,5
47,"If you are a windows user, go for windows only in case of you are buying for work. Software will work but you will have to adjust from windows to iOS which takes time.
Battery life is really good and sound quality is not like anything else. You'll feel real Dolby digital sound.
Only C type port is given.... Blah blah blah blah... Known things.
It's been week for me to using it but still not satisfied completely yet no question about performance or anything, just adjusting myself from windows...",3
48,Light weight very good look too fast and very simple to use. App based applications. Excellent quality l like it. Seller sent it within 2 days of booking. Thanks to Flipkart for fast delivery.,5
49,Everything is awesome about this product despite that Microsoft office is paid on this which is not good atleast office should be available on it and one more thing android phone doesn't connects through type c to type c cable which is not at all good,5
50,"Its a beast... Super fast performance.. really a great product for coders... The code which takes around 5 mins to build in windows 10 (i5 7th gen), takes around 30secs in this system.. display is really bright and clean and the swiping gestures are pretty cool... This is the first time I am using any Apple products, but I really liked the user experience and overall performance... Only cons is that, it's a bit costly...",5
51,"The M1 chip on macbook is just awesome.
I had the previous macbook air with intel chip and bought this macbook air with M1 chip for my brother and when compared both of them the macbook air with M1 chip outperforms its predecessor in all aspects.
On comparing both of them there is no area in which it's predecessor is ahead except the new one doesn't have USB 3.1 port.
Only 2 USB type c port which is called thunderbolt 4.

The display is much better.
Screen size is same byt dimensions are more...",5
52,"This is my first Apple MacBook product and have to say I have made a very good decision to buy it. Following points on which it outperform:
1. Battery life
2. RAM management
3. Performance
4. Display
This new M1 chip won't support some of the apps and software as it use to. But, for a general usage all the apps and software are optimised. I would definitely recommend this product for designers and coders you require a good processing power and battery life.",5
53,"I am glad that I chose Flipkart for this purchase as I got the HDFC discount. I am more than happy that I chose the space grey color as it looks fabulous. Performance, camera, battery, quality etc. are all of top quality and hence no doubt. Macbook Air M1 chip is definitely a better choice compared to Macbook Pro. Just go and get your MacBook!🙂",5
54,"Have been using it for past 6-7 months for software development purposes pretty much Android and iOS development and some server maintenance and backend work as well and let me tell it handles everything like a charm. The battery lasts for about 8-9 hours on a full charge with about 70 percent brightness, it you are into software development just go for it you won't regret this purchase.",5
55,"It's a fantastic device. First apple device so still trying to adjust with it as I have always been a windows user from childhood. Looks, performance A class. If in future apple could bring the cost to a more reasonable level, that would be like a cherry on the cake for this device.",5
56,"Absolute beast of a system, very satisfied with the purchase, firstly Kudos to flipkart to deliver it on the said time/date. I’ve been using the laptop for more than a week now and very happy for personal and medium to heavy use with many apps opened at a time.

Pros:
- Excellent battery life 1-2 days for an average to heavy user
- No comment needed on Display - above par
- keyboard is very tactile & easy to use
- backlighting is good.

Cons:
Nothing to mention as of now.

Overall, will highl...",5
57,"Ah! After 16 yrs of using windows OS, wanted a laptop which is reliable and powerful in performance. I mean this is craziest laptop i have ever used in my life. Super smooth performance with no lags and heating. This is my first MacBook & I am really glad to be a proud owner of the same. Trust me you can really count on Apple Macbook for all your privacy and personal data safety. Bindly go for it its just AIR.

Got beat deals from Flipkart and its under my budget.",5
58,"Nothing needs to be said about this. If space is a priority, like installing multiple apps or games, then opt for the higher storage or else, buy a 512GB external SSD for half the price and haul it along with this machine. Blazing fast for day to day activities.
I'm not into gaming, but does the job for making presentations, handling documents, etc.
Ports are extremely limited.
Macs are known to work for a decade without any issues, and that would offset the higher initial price. But, not...",5
59,my first apple device.. i have used windows from my childhood. never used apple device. but after using this i can say u will never regret.. first impression will make u happy. the best feature of macBooK air m1 is its battry backup . charging once and use 2 or 3 days regular. i charged to 87 % and used whole day on video streaming on speaker and at night it battery was 37% . very good battry backup.. good for light works.. not much powerful as windows laptop as they have graphic and all. so...,5
60,This is my first MacBook. Already using an iPad and i-phone. Using the best of windows laptop given by office but this MacBook is a beast and completely. overshadows the windows. Takes a while to gets hands on but I am loving it day by day thanks flipkart or this amazing deal,5
61,First experience of an Apple product and it's totally worth it so far. Been using it on and off from past week(1hr per day average. Yet haven't required to charge the laptop) all general stuff like MSO and everything is working perfectly. Overall I'm very impressed I can say.,5
62,"Great laptop for someone who is a FIRST TIME APPLE user. Connectivity is nice and security is awesome. The ability to MULTITASK is the speciality of this laptop. It doesn't matter if this the base variant. I had no problem running PHOTOSHOP, ADOBE XD, FIGMA, PREMIER RUSH, and FLUTTER as well. This laptop can survive all the heavy open at the same time. So good at handling at these tasks. And when ever i use this for browsing only, the BATTERY LIFE would be beyond compare. I would go on for 4 ...",5
63,I got it for the children and they just love it. More than anything the delivery was on time. The person was dead tierd taking care of all the BBD sales. But he has a genuine attitude. Loved my overall experience with the buy. This was the first time I was buying an expensive product from an ecom platform and I guess my trust has gone up. So more later...,5
64,I love the new M1 MacBook Air 2020! I got the silver one in 256 gb. Absolutely amazing! I got it at a steal and would recommend to buy this at a nice price! Love it!!,5
65,"So, this is my first experience with a MacBook. In the past the MacBook Air was considered an underperforming notebook for a very high price. But now because of the m1 chip the performance is incredible for all the apps that can be run on the relatively new platform. Only thing is if you need more RAM or storage, pls upgrade before buying because all parts are soldered into the motherboard so you cannot upgrade it in the future. For me 8gb ram and 256 go ssd is more than enough",5
66,"A beautiful device. Arrived late but perfectly packaged. I've been using it for a week now and it's a pleasure to use. The battery life is phenomenal and the performance is super smooth and speedy. No lag or any issues.

Highly recommend it to those looking for a great laptop and a bang for their buck. Look no wherever else and just get this one!",5
67,"Superb ....
Its superfast it will feel on everything- form bootup, to app opening, to builds etc..

Its slim, air has no fan hence its from factor is even slimmer than pro.

I have tried several graphics heavy games and the run great without any heat as well.

Screen, Sound and microphone quality are awesome.

Battery life also very good.
Overall good laptop",5
68,"Reviewing this after 51 days of usage.

It’s the laptop for most of the people out there. No matter if you’re a student or a working professional if you need a LAPTOP means a Proper Computer that runs on battery then it’s THE PRODUCT that fits the criteria. This machine has GROUND BREAKING BATTERY LIFE if you use all Apple Silicon optimised apps and with my daily usage of 6-8hrs SOT (Screen On Time) I charge it on every third day in the morning. I don’t even shut down the device and still I ...",5
69,The best laptop for its price. I would even say that it's not overprised for the performance you get. The only con I could point out is the lack of ports. But pros outweighs the cons and I truely love this gem of technology.,5
70,"If uh are a Gamer, then it's not for, this doesn't support many games, and if uh are low on budget then still uh can find better options. But if uh don't game much and ur budget is on point, Dont think, just go for it, this one is the best pick. I'm writing this review after 2weeks of my experience of using this product. It's smooth like honey. It's Fabulous!!! It works very well for all of ur works. Its the best uh can get in that budget.",5
71,"This is my 1st experience with macbook and got an amazing deal from Flipkart as well at the time kf buying. I have only used windows laptop, so was little hesitant to move to Mac considering the price. But now I don’t regret at all. The performance was amazing, very smooth handling and crisp display. Initially it was little difficult to move everything from windows to mac but once you done with the all installation part, it works like charm.",5
72,Don't give it a second thought. Just buy it. Insanely fast and running faster than my old i7 laptop. Superb Design and top notch build quality. My user experience is awesome.,5
73,Writing the review after usage of 3 weeks. I'm in awe of this small beast. Performance is too good to be true plus the video and sound quality is just amazing. Worth the money in all terms. Battery backup is also great. Expect 12-13 hours on a single charge with normal usage which is way too higher as compared to any other window laptop. All in all couldn't have asked for.more. The only cons could be that it's not touch screen.,5
74,"It is my first apple product ,what an awesome experience. I am so happy to get this MacBook AIR m1 .The performance, color contrast I can give 5 star ,especially the portable classy look of this MacBook air silver is so elegant, music clarity and my favorite part is the trackpad gesture .Overall rating I am giving 4 star because of the webcam. I am bit disappointed with the web cam. Didn't expect this bad quality of web cam.",4
75,"Apple Mac has a class in it's own, simply outstanding!! The Big Billion Days offer makes it an even crazy deal. Great improvement from the last gen Mac, it now gets a crisper screen with less bezels and looks a lot more premium. You must use it to experience it.

Everything else is just perfect, excited to start using it more, Go for it without a second thought!!",5
76,Using it for a week now. Performance wise and battery backup are top notch. But weight but nice to hold and compact.,5
77,"It feels like magic! Be it the speed with which it starts up / wakes from sleep, loads pages on safari, etc etc. Super fast and snappy and ofcourse feels super premium to use, especially the tactile feedback of the touchpad. The keyboard is far better than the previous model.",5
78,"Best laptop I ever had. Great performance, great display and awesome inbuilt speakers with bass effects. Good for coding as well as gaming without any lag.",5
79,"It' s an Apple product. Do i need to write a review for this :)
Btw I am not an apple fabboy but wanted to buy a laptop for my development activities and wanted a robust laptop with good Speed, memory and space. I was searching for Windows laptops but then I thought the configuration I am looking for would cost me around 60 to 70k. So instead of investing in windows laptop why not to invest in Apple macbook and i was getting a great deal during one of the flipkart's sale. Excellent buy for me",5
80,"Apple at any point of time is the best in market to have, I am really loving it … quality has its own price it has one … super product",5
81,"I own a MacBook Air Mid 2013 Model still working well after more than 800 charge cycles and even using the device in high altitude for more than 24 months. Considering Mac OS Big Sur was the last OS Update for my MacBook Air Mid 2013, I decided to buy the new one.

Flipkart delivery was precise and well packaged. Thanks.",5
82,"No lag, lightening fast, light weight, amazing display, easy on eyes, peace of mind for 7-10 years with sw and hardware. Nothing beats the apple user and ownership experience. Having being apple user for 10+ years, I have come to expect money spent on them works for 7+ years without issues. With most decent windows laptops above 65K buying this is no brainer. Go for it.",5
83,"I’m soooo happyyy with this purchase ❤️
Everything is PERFECT in every sense! I’m blown away by the battery and performance of M1. The screen & the keyboard are soooo goood 🥰
I’m in love with my MacBook 🙌🏻
PS - Don’t even think about it for a second. Just go for it. Totally worth the amount you will be spending and not regretting it at all 🤗",5
84,"If you're not a gamer, then this is the laptop you should own! Can handle everything else seamlessly. Top notch in all aspects.
It only has 2 usb-c ports, so might require a good quality dongle if there's a need, but other than that it's great",5
85,"About me (type of consumer):
moved from windows to Apple after 8 years !
Never buyed a laptop !

Best transition stage.

Being practical I always don't wanted to move to Apple instead going for windows in that or less price , but apple did its job ,this time not just the branding but the performance at its best .

Coder review :
Performance :
10/10
I used android studio , u can easily run the emulator ,no lag
From editing videos to multitaskig 30 apps at a time , M1 is the beat one mach...",5
86,Best in class laptop ❤️💫,5
87,"Just love it, dream comes true😎",5
88,"Great Laptop
Was almost about to buy an 360 touch laptop for 65k,glad i changed my decision and bought m1 air as this is more value for money.
No complains for normal usage.
If most performance is needed, mbp with 16gb Ram wud be the best, which is 50k more.
Too bad selling it for 75k(999usd) could have been a great deal to buy.",4
89,Amazing product 😍❣️ best in laptops go with it🥳,5
90,Wow 4k video editing in davinci resolve,5
91,A product worth buying.,5
92,Unbeatable,5
93,Really good,5
94,"In 2 words: Little Beast.

PROS:
1. Everything except it's CONS :p

CONS:
1. Display is little small but it's good resolution kinda make up for it. Also no OLED.
2. MacOS has some wierd quirks. Windows users like me will face some difficulty at first.
3. 30W charger maybe slow for some.
4. You will crave for the glowing logo but it's not there.
5. Soldered 256gig SSD.
6. Apple Repairs are obviously expensive.

Conclusion: A Great Laptop for 72k (thanks icici and flipkart for giving 8k inst. d...",4
95,Amazing Product ! Worth every single penny.,4
96,Amazing. In love with screen quality.,5
97,"Excellent machine , first impression blows your mind away.",5
98,Loved it! ❣️,5
99,Amazing product. Thanks Flipkart..,5
100,Nice product. Love it!,5
101,"My MacBook Air M1 🔥
❤Good Flipkart product",5
102,"Caps lock is not working in one press, sometimes need to press more than 2 or 3 times.",3
103,"it's difficult to get started when you use windows laptop for a while. But once you got it, it will an addiction 😂😂😂",5
104,"Its my first MacBook, and its simply awesome. Great product by apple and Flipkart. I won't suggest this to students, because windows is very flexible and cheap in terms of products, accessories, repairing cost. If you have budget and want to experience then you must go for macbook. Its a lovely product",5
105,"Best laptop ever, I mainly use it for office work, video calls, ms office and browsing. 10 /10 in performance and all other aspects",5
106,Till this date my best electronic Purchase :),5
107,Cool.I always prefer to buy Apple products in electronics bcoz it's just awesome.,5
108,An absolute powerhouse. Very light in weight and processor is damn good compared to Intel chip. Also display is eye catching one. One should definitely go for this.,5
109,I had to return it because got defective product. Logic board was dead. Stop working after 4 hrs.Giving 2 star for smooth and timely refund from flipkart. It's upto you if you want to buy it from flipkart.,2
110,Even after working on for more than 12 hours the system does not get heated up ...Awesome product ...super fast ...hope it remains this way !!,5
111,"Apple Mac has a class in it's own, simply outstanding!! The Big Billion Days offer makes it an even crazy deal. Great improvement from the last gen Mac, it now gets a crisper screen with less bezels and looks a lot more premium. You must use it to experience it.

Everything else is just perfect, excited to start using it more, Go for it without a second thought!!",5
112,fast delivery and good laptop.,5
113,"First class product.
Way way better than Intel's version.

And battery backup is a killer.

Only issue is spending money on adapters as it has only thunderbolts.

Overall this machine is a beast.",5
114,"Its been 6 months. Im a 1st time mac user. Worth the product and value for money.

P.S : The Only struggle was to get adjusted to the new interface. Will get used to you after a month or two. But, worth the change.",5
115,"I recently purchased this on big billion sale, so it was a steal for me 🥳.
Performance of this laptop is out of the world for it’s price range now a days.
No Windows laptop can come even closer to its battery and performance standards.
Don’t forget the fact its has no fan so noise is not an option.
And even without having a fan it fairly manage to balance its internal temperature very well.
A awesome buy for casual user, programmers and even designing and Computer science students in their ...",5
116,Product is really awesome… Thanks Flipkart for the on time smooth delivery in this critical time. Thanks to the delivery guys who are really doing a critical job on this very situation.,5
117,Shocked after seeing the performance of the machine omg absolutely very good performance and if you want a best laptop in this price so don't waste your time choose this.,5
118,"Every thing is good but looks to small for me, bullet quality and battery backup is fabulous 🤩😍",5
119,"Adding review after 5 months of usage. The quality is really good, rarely lags even on very heavy usage.
Overall a decent purchase",4
120,"I have been using this laptop for more than 6 months, and this is by far the best laptop I have used. The M1 chip is fast and you can do all the heavy stuffs related to work or assignments. I have not faced any lagging issues till date. The battery is really good, one full charge and I don’t have to carry my charger for next 2-3 days (I don’t use it for watching movies or videos). The laptop does not heat up even though there is no fan.
If you are planning to buy with, go for it. Transition ...",5
121,Just great ❤️❤️❤️,5
122,The performance of the product is awesome. The battery performance as given in product details. If we connect hubs it is affecting battery performance. This is first to me I bought and writing this review after 7days. Fan of this MAC M1.,5
123,Amazing experience with new M1.. 1 star less not due to less support available for software,4
124,One of the best decision of my life to buy it,5
125,"camera quality is okay but good in low light but except that everything performance display is beast but missing the old macbook air apple logo light though.
Best In Class",5
126,Super fast... I have been using windows so far and Mac speed is enthralling... light weight and battery back up has been superb.. over all this is my first mac and happy to go with this..,5
127,Absolutely fantastic!!!,5
128,bought a MacBook air 6 months ago working very well till now there is no complaint.,5
129,This is the one of the best laptop in virtual world. But flip kart service is very very bad. It take too much time to deliver,5
130,"Battery backup is amazing like 18 hr. video playback , design and performance are also outstanding . Overall everything is mind blowing.",5
131,"I was bit worried before buying because of the hinge issues but beleive me there such no problem i found in my mac .It took me 40 min to adjust after using windows for 12 years .
P.S You have to take a great care in order for it to prevent from scratches .",5
132,"Writing this review after using this device for 2 months.
I am a Windows user from last 15 years and mostly working on desktop computers, after using this slim machine, I would say... performance, display, sound, battery life, everything is excellent.
I am a Web Developer and I think its not a huge difference in performance when I compare it to my desktop i5, but it's equivalent or slightly faster.",5
133,"Overall an excellent product, design and performance are top notch.",5
134,Best one. Go for it.,5
135,The transition from Intel to Mac M1 is gonna pinch first but then as one gets familiar it is amazingg.,5
136,Stopped working after 1.5 month.,1
137,It's the best performance .... I have come across till date,5
138,Superb I am happy to have this but only one thing of flipkart may offers a bag with this one then it's really good for customers after all it's a costly one,5
139,"top class, must buy",5
140,"Apple products are awesome. Need some time to get used to it. All apps are working seamless. Even though it is a bit prized on the higher side. WORTH IT!!
M1 Processor is far better than its intel/amd counterpart and will easily last you 6+ years and is bug free.",5
141,"Bought This During #FlipkartBigBillionDays...

Got This Product At 68400 INR Including Bank Offers & CashBack...

Build Quality Is Excellent...
Battery BackUp Is Excellent Too...
M1 Chip Is Remarkable...

Thanks # Flipkart + #AxisBank + #Seller For Such An Amazing Deal...

😍😍😍😍😍",5
142,An absolute beast... M1 is giving a killer experience. I was always having an urge to buy a Macbook and now it is with me.,5
143,My first experience with apple product and it's gonna amazing 🤩,5
144,Product is top notch,5
145,Just loved it 😍,5
146,Perfect,5
147,You can absolutely trust flipkart in this wonderful quality,5
